,x_deg,x_moteus_deg,y,l,mode,u_ff,q_current,d_current,torque,t_s
0,-19.6517333984375,36.3482666015625,0.15827861072819235,0.14472138927180764,2,0.0,-4.3,0.7000000000000001,-1.8277537822723389,8001.792222458
1,-17.921386718750007,38.07861328125,0.15594207312805783,0.14705792687194216,2,-1.8290879354566005,-5.4,-0.30000000000000004,-2.2653493881225586,8001.795349858
2,-16.894165039062504,39.1058349609375,0.15455787001588053,0.14844212998411946,2,-1.7587145314362624,-4.4,0.0,-1.8572895526885986,8001.796847309
3,-15.8779296875,40.1220703125,0.15319138796893872,0.14980861203106127,2,-1.6910100755232023,-4.5,0.30000000000000004,-1.8719881772994995,8001.798241168
4,-14.900146484375005,41.099853515625,0.15187994077461495,0.15112005922538504,2,-1.6273963759086945,-4.2,0.4,-1.7591415643692017,8001.799685175
5,-13.828979492187505,42.1710205078125,0.15044765534477172,0.15255234465522827,2,-1.5640660203534038,-3.9000000000000004,-0.30000000000000004,-1.6315091848373413,8001.801143996
6,-12.812744140625002,43.187255859375,0.14909371427557036,0.15390628572442963,2,-1.498119617685827,-4.0,1.1,-1.688452124595642,8001.802526059
7,-11.845947265625004,44.154052734375,0.1478106187326719,0.1551893812673281,2,-1.4369109247006278,-3.6,2.0,-1.5013092756271362,8001.803872178
8,-10.895629882812502,45.1043701171875,0.14655462055717075,0.15644537944282924,2,-1.3772143485148503,-3.3000000000000003,2.3000000000000003,-1.4072314500808716,8001.805252778
9,-10.027709960937505,45.9722900390625,0.14541244993945082,0.15758755006054917,2,-1.3158923398940643,-3.9000000000000004,2.0,-1.6352866888046265,8001.806626914
10,-9.165283203125,46.834716796875,0.14428252152109936,0.15871747847890064,2,-1.2560409782913347,-2.5,2.8000000000000003,-1.0820748805999756,8001.808087977
11,-8.297363281250005,47.70263671875,0.14315077981266325,0.15984922018733674,2,-1.193612930248808,-2.3000000000000003,1.7000000000000002,-0.9595893025398254,8001.809478428
12,-7.533813476562504,48.4661865234375,0.14215986269214248,0.1608401373078575,2,-1.1327653165175493,-2.3000000000000003,1.4000000000000001,-0.994623601436615,8001.810870047
13,-6.808715820312504,49.1912841796875,0.1412231564295099,0.1617768435704901,2,-1.0739392907090437,-2.0,0.8,-0.8687222599983215,8001.812261332
14,-6.067138671875005,49.932861328125,0.14026969924858837,0.16273030075141162,2,-1.0131272174817767,-1.8,0.1,-0.7893789410591125,8001.813772653
15,-5.4409179687500036,50.55908203125,0.13946827323975025,0.16353172676024974,2,-0.9513407286047468,-1.7000000000000002,0.8,-0.7081986665725708,8001.815169808
16,-4.8366699218750036,51.163330078125,0.13869830633877814,0.16430169366122185,2,-0.8941903453664555,-2.0,0.0,-0.8525022864341736,8001.816745258
17,-4.281860351562505,51.7181396484375,0.13799431162790815,0.16500568837209184,2,-0.8278445113224908,-1.8,-0.1,-0.768288254737854,8001.818212802
18,-3.8094482421875004,52.1905517578125,0.1373971744550219,0.1656028255449781,2,-0.769844357896732,-1.7000000000000002,0.0,-0.7227116227149963,8001.819590087
19,-3.3645019531250013,52.635498046875,0.13683673629924079,0.1661632637007592,2,-0.7148888349159743,-1.5,0.0,-0.6859443187713623,8001.821049501
20,-2.9525146484375058,53.0474853515625,0.1363195598590145,0.1666804401409855,2,-0.6554563171614136,-1.4000000000000001,0.0,-0.5997222661972046,8001.822453693
21,-2.5844726562500018,53.41552734375,0.1358589949869931,0.16714100501300688,2,-0.6021368907480782,-1.1,0.5,-0.4919755458831787,8001.823862145
22,-2.232910156250003,53.76708984375,0.13542034667962422,0.16757965332037578,2,-0.5479137246905175,-1.1,-0.4,-0.4771742820739746,8001.825316707
23,-1.9252929687500027,54.07470703125,0.13503758109168718,0.16796241890831282,2,-0.49181472459664466,-1.2000000000000002,-0.2,-0.5206800699234009,8001.826706177
24,-1.628662109375003,54.371337890625,0.1346694269219832,0.1683305730780168,2,-0.44052195680984685,-1.0,0.1,-0.4269184470176697,8001.82808761
25,-1.3540039062499998,54.64599609375,0.13432937662295866,0.16867062337704133,2,-0.3889865435703972,-0.9,0.0,-0.3962745666503906,8001.829526432
26,-1.0683593750000016,54.931640625,0.13397658323675735,0.16902341676324265,2,-0.3371634815654796,-0.8,-0.1,-0.34871944785118103,8001.830901717
27,-0.8211669921875041,55.1788330078125,0.13367199508504884,0.16932800491495115,2,-0.28818895386788945,-0.6000000000000001,-0.2,-0.27296459674835205,8001.83231402
28,-0.5520019531250044,55.447998046875,0.13334109286425397,0.16965890713574602,2,-0.23942102980064828,-0.6000000000000001,0.2,-0.28658267855644226,8001.833682305
