,Fx,Fy,Fz,Mx,My,Mz,t
63,2.532825,-0.959104,-36.584624,-0.241299,-0.946417,0.025959,7983.868853885
64,2.222231,-0.376872,-37.419582,-0.176707,-0.938968,0.024287,7983.869415843
65,1.983545,-0.237337,-37.466716,-0.136732,-0.92025,0.028744,7983.869871728
66,1.688122,-0.436013,-37.571889,-0.168598,-0.899949,0.030305,7983.870137004
67,1.315046,-0.86254,-37.943868,-0.209303,-0.891635,0.031633,7983.870576075
68,0.73128,-1.356528,-38.094458,-0.263654,-0.848764,0.035425,7983.871014127
69,0.36173,-1.875561,-38.258688,-0.303394,-0.829836,0.035124,7983.87142729
70,0.09426,-2.347449,-38.092992,-0.341926,-0.798524,0.035007,7983.871862434
71,0.022268,-2.609019,-38.136074,-0.381191,-0.761142,0.029183,7983.872297135
72,0.243672,-3.20483,-37.8741,-0.400276,-0.760577,0.034776,7983.872714076
73,0.474058,-3.712278,-37.635746,-0.439787,-0.758278,0.034246,7983.873141368
74,0.87177,-3.980281,-37.722314,-0.451397,-0.781527,0.032965,7983.873586309
75,1.177614,-4.175297,-37.823908,-0.480016,-0.7961,0.036637,7983.873999787
76,1.744614,-4.17995,-38.01295,-0.459875,-0.843001,0.038491,7983.874427395
77,1.900125,-3.856169,-38.299914,-0.447768,-0.848481,0.026172,7983.874879447
78,2.051137,-3.579265,-38.575708,-0.452309,-0.851288,0.017975,7983.875290981
79,2.313968,-3.386665,-38.32497,-0.403463,-0.875179,0.02568,7983.875568589
80,2.437468,-3.165903,-38.137778,-0.386576,-0.882062,0.023301,7983.876038141
81,2.404107,-2.814708,-38.378633,-0.382497,-0.884548,0.013152,7983.876445138
82,2.487627,-2.476495,-38.321463,-0.352455,-0.892935,0.023523,7983.876856764
83,2.469828,-2.323005,-38.425027,-0.331466,-0.897645,0.029017,7983.877147188
84,2.326576,-2.191261,-38.832441,-0.307552,-0.886727,0.02826,7983.877434574
85,2.285668,-1.952024,-39.34883,-0.276755,-0.891752,0.022734,7983.877903719
86,2.234178,-2.044662,-39.572841,-0.259227,-0.898879,0.033666,7983.878287827
87,1.884819,-2.287839,-40.384851,-0.267989,-0.891207,0.037547,7983.878729249
88,1.539066,-2.574774,-41.118462,-0.266399,-0.87505,0.023812,7983.879170208
89,1.561615,-3.135596,-41.034907,-0.310214,-0.861641,0.017574,7983.879573483
90,1.1609,-3.659767,-41.513484,-0.370658,-0.83056,0.019332,7983.880046368
91,0.92906,-4.283136,-41.923698,-0.436128,-0.821929,0.019396,7983.880449068
92,0.709824,-4.618614,-42.413953,-0.486996,-0.800486,0.002198,7983.880862102
93,0.58895,-4.571684,-43.207006,-0.510416,-0.777545,-0.004207,7983.881299228
94,0.738007,-4.773096,-43.281518,-0.51805,-0.783894,0.003925,7983.881732873
95,0.878183,-4.647353,-43.607712,-0.506689,-0.769305,0.004556,7983.882148073
96,1.327334,-4.34036,-44.444107,-0.479119,-0.794621,-0.00176,7983.882581736
97,1.642839,-4.272503,-44.949791,-0.454269,-0.815588,0.009817,7983.883018362
98,2.109125,-4.003813,-45.748,-0.395719,-0.863087,0.02291,7983.883431525
99,2.375768,-3.839507,-45.924409,-0.38402,-0.880878,0.021634,7983.883874503
100,2.516719,-3.653228,-46.243884,-0.37217,-0.890392,0.021954,7983.88431224
101,2.652235,-3.316826,-46.449214,-0.358699,-0.89079,0.017619,7983.884862199
102,2.655598,-3.300196,-46.261989,-0.355632,-0.903542,0.021319,7983.88530164
103,2.588301,-3.216049,-46.446487,-0.357384,-0.901133,0.012619,7983.885734933
104,2.330075,-3.219903,-46.404088,-0.38266,-0.883783,0.005398,7983.886149392
105,2.415044,-3.098015,-46.005315,-0.370495,-0.888389,0.001237,7983.886591777
106,2.293118,-3.147591,-45.563622,-0.374752,-0.872529,0.007395,7983.887029348
107,2.184652,-3.062482,-45.419392,-0.378952,-0.861177,-0.001417,7983.887436289
108,2.142196,-3.08785,-45.310008,-0.385532,-0.858568,-0.00308,7983.887883397
109,2.208203,-2.958569,-45.266277,-0.367419,-0.871224,0.003166,7983.88830906
110,2.234579,-3.047384,-44.86949,-0.368647,-0.877717,0.00444,7983.88872576
111,2.166316,-2.863518,-44.716447,-0.366952,-0.866676,-0.000297,7983.889159182
112,2.303122,-2.867169,-44.318554,-0.343706,-0.881306,0.008909,7983.889595697
113,2.18058,-2.970908,-44.137572,-0.353896,-0.879772,0.009427,7983.890007102
114,2.030382,-3.038844,-43.983286,-0.378973,-0.878843,0.007646,7983.890444728
115,1.798163,-2.962042,-43.749502,-0.389054,-0.868178,0.010591,7983.890884298
116,1.67143,-2.869378,-43.48721,-0.391189,-0.861356,0.009598,7983.891153
117,1.615745,-2.871167,-42.787355,-0.391483,-0.87548,0.014494,7983.891586292
118,1.364956,-2.611519,-42.521121,-0.377287,-0.859284,0.014999,7983.89205777
119,1.176865,-2.393512,-42.029168,-0.372955,-0.858825,0.017705,7983.892445859
120,1.07355,-2.166403,-41.764405,-0.355062,-0.850437,0.020701,7983.892730005
121,0.926508,-2.064473,-41.387293,-0.358702,-0.845729,0.022792,7983.893020114
122,0.801361,-1.850432,-40.94099,-0.347316,-0.836336,0.022505,7983.893307093
123,0.783845,-1.572618,-40.419152,-0.320183,-0.829683,0.028635,7983.89373446
