rotation in degrees,displacement in mm,Force in MilliNewtons,Fit spring constant in Newtons per Meter,Raw spring constant in Newtons per Meter,Spring Potential Energy in Joules,Fit Torque in Nmm
148.9653,0.231,0,0,1202.14755131728,NaN,0
148.9653,5.3162,-6293.14793076923,514.080099863321,1025.71303646338,NaN,-118.060369230769
148.9653,10.4329,-4103.87987384615,435.754949652913,712.037439457539,NaN,-101.949146153846
148.9653,15.5486,-2526.14065538462,1424.28670387711,1407.73425253991,NaN,-88.9526461538462
148.9653,20.6676,-78.2854123076882,2496.43808904426,2871.89002260252,NaN,-74.7783846153846
148.9653,25.788,2677.56133692306,2586.23977671649,3211.75018551379,NaN,-59.1716461538462
148.9653,30.9048,6274.73361615387,2172.33517017021,3051.18224947556,NaN,-43.4427846153845
148.9653,36.0235,9944.1920046154,839.454898393165,2114.22685170243,NaN,-28.3475846153846
148.9653,41.1416,13771.1716430769,92.2429473499428,1064.89585884627,NaN,-14.9251230769231
148.9653,46.2622,17537.1621946154,250.289486253063,780.207112903229,NaN,-3.1123307692308
148.9653,51.3812,21784.9781323077,146.247189150294,327.649967700261,NaN,7.19235384615386
138.9672,0.2347,-9094.74306846154,756.443223567012,617.466337754771,NaN,-125.565276923077
138.9681,5.3194,-6151.65288538461,-159.365076740014,306.917554049694,NaN,-102.221323076923
138.9681,10.4393,-4015.29614692308,218.980936582926,377.263038914904,NaN,-87.4784153846154
138.9681,15.556,-2589.85990769231,1068.83893882649,1205.44625806452,NaN,-75.0927615384615
138.9681,20.6755,-25.6144530769379,2278.42554373052,2616.58142464869,NaN,-61.4214307692308
138.9681,25.7929,2637.56414615383,2071.18557000792,2549.42460074205,NaN,-47.0931153846154
138.9681,30.9079,6190.71032384616,1789.82296968839,2474.3631757302,NaN,-33.2764923076923
138.9681,36.0265,9678.03661615384,937.662967611726,2035.04341510652,NaN,-20.1831384615385
138.9681,41.1418,13363.3320884615,408.385427922235,1331.83474891007,NaN,-8.45749230769225
138.9681,46.2595,17124.7752269231,249.358993745041,736.389191805135,NaN,1.84365384615384
138.9681,51.3785,21274.45089,27.9284643519807,214.95868863049,NaN,10.8385307692308
128.9772,0.2345,-7868.65571769231,394.290103242877,223.763334950672,NaN,-109.497323076923
128.9772,5.3217,-5370.57234615385,-543.950830150145,-106.388167877321,NaN,-89.3977307692307
128.9772,10.4413,-3686.07469615384,-365.477431731947,-289.563480787859,NaN,-76.0566538461539
128.9772,15.5582,-2202.44109615385,743.184628133609,848.467693548386,NaN,-63.6836615384615
128.9772,20.6743,309.404700769222,1808.06049777119,2113.87886231416,NaN,-50.491476923077
128.9772,25.7937,3090.4598976923,2065.92632888189,2406.38126815102,NaN,-37.248
128.9772,30.913,6598.26212538461,1683.4864274467,2313.01115235636,NaN,-24.7551846153847
128.9772,36.0283,10219.1720376923,1255.50076918754,2303.20119412618,NaN,-12.9353692307693
128.9772,41.1466,13670.0203976923,-132.83280541178,761.604552793026,NaN,-2.72223846153852
128.9772,46.2682,17379.4540984615,140.970560999309,432.095516852119,NaN,6.17555384615385
128.9772,51.384,21556.7245469231,344.146293187196,379.045510335921,NaN,14.1376307692307
118.9872,0.2345,-7537.13314307693,-372.811575580653,-17.2686822958778,NaN,-95.9526230769231
118.9872,5.3236,-4986.69613153846,-686.255654229413,-86.4740639122007,NaN,-78.7475846153846
118.9872,10.4439,-3443.74867538461,-749.757103069878,-580.800048441789,NaN,-66.4712538461539
118.9872,15.5642,-1633.30993230769,242.120230930254,263.226778512663,NaN,-53.9270230769231
118.9872,20.6813,951.144540000015,1578.84447120634,1744.66222940226,NaN,-41.3846307692307
118.9872,25.8016,3840.16605461539,2191.57271004023,2317.37167285045,NaN,-29.2874538461538
118.9872,30.9196,7190.99286846155,1669.80405385523,2127.33700177505,NaN,-18.0497538461538
118.9872,36.0339,10805.9045346154,987.006595269801,2034.55341294176,NaN,-7.90635384615388
118.9872,41.1503,14125.7966846154,-618.130038320251,358.497788182111,NaN,1.19844615384615
118.9872,46.2665,17916.56362,141.66573617176,428.00596774194,NaN,9.15415384615377
118.9872,51.3822,21799.6255438462,378.992573931468,421.431023901813,NaN,16.2030923076923
108.9972,0.2345,-6724.56128846154,-785.645119257541,-605.397364165589,NaN,-84.2907153846154
108.9972,5.3235,-4339.93007538461,-1559.08178224501,-1191.40740561471,NaN,-68.7635153846154
108.9972,10.4401,-2870.30887692308,-503.654710965863,-461.42886664514,NaN,-57.0994230769231
108.9972,15.5571,-904.504316153845,247.186992111726,280.859774193549,NaN,-44.9827
108.9972,20.6768,1635.23161307693,1584.15281491431,1693.6793181451,NaN,-33.4754
108.9972,25.7946,4416.57845846152,2210.40849391483,2249.57257622197,NaN,-22.3204923076924
108.9972,30.9127,7625.32457846154,1742.08161451859,2138.42533892835,NaN,-12.5482769230769
108.9972,36.0306,10814.1323230769,1133.51855723695,1912.35168629982,NaN,-3.41668461538466
108.9972,41.1458,14030.0215192308,63.3274802088423,873.732294526083,NaN,4.80196153846155
108.9972,46.2609,17769.3161592308,159.839095575855,497.97796774194,NaN,11.8874076923077
108.9972,51.3801,21640.6211853846,505.032368598052,573.762990473116,NaN,18.0341769230769
99.0063,0.2346,-5789.03202,-827.145123979807,-914.924353169471,NaN,-74.1379461538462
99.0063,5.3245,-3779.22606461538,-833.042558667819,-524.286221361729,NaN,-59.9327076923077
99.0063,10.4457,-1929.86533230769,-244.804881344543,-214.849822408783,NaN,-48.8736230769231
99.0063,15.5624,44.2550292307685,507.946914815908,507.675048387096,NaN,-37.5403
99.0063,20.6808,2547.23574538461,1747.40668534109,1842.09268056229,NaN,-26.9085384615385
99.0063,25.8028,5225.29631461538,1723.35618612904,1886.9313276335,NaN,-16.9983153846154
99.0063,30.9197,8132.67032923077,1471.16293414917,1852.20187187348,NaN,-7.83598461538461
99.0063,36.0376,11282.13259,947.277688779655,1700.04809983897,NaN,0.657238461538465
99.0063,41.1544,14447.2332730769,-138.543994159491,533.226186632226,NaN,7.77480769230773
99.0063,46.2733,18030.7948769231,85.3355692099884,294.948281980963,NaN,14.1064615384615
99.0063,51.3913,21915.7202807692,467.245358464984,537.208817829458,NaN,19.5624461538461
89.0163,0.2349,-5488.99335230769,-708.69799016831,-1055.60443078913,NaN,-65.0121384615385
89.0163,5.32,-3050.01389,-298.574168537973,-228.694835377662,NaN,-52.3385846153846
89.0163,10.4376,-953.098251538462,105.228957563998,69.3124273724983,NaN,-41.6053153846154
