,hop_energy
0,1.884928656629981
1,0.4460323617627733
2,1.1230623017066534
3,2.479369655348738
4,1.76489567360332
5,2.0359680360707015
6,1.574643391631013
7,0.6978673551110637
8,0.8027650344888908
9,2.092673025806241
10,1.0408660170665947
11,2.7182470759780752
12,2.2745227777671557
13,2.2589401173135055
14,1.1010349706660492
15,1.061160827815451
16,2.664458619918067
17,2.2868147000848147
18,1.1978973600375271
19,2.075437889891041
20,2.628690726569057
21,1.587654402902233
22,1.3625902861469026
23,1.6366922648733784
24,1.6987510770349896
25,1.6641316764393883
26,2.540708371287282
27,2.802034730933027
28,0.938760025609171
29,2.394068835373905
30,2.194428286109086
31,2.1413338143810936
32,1.4111085612267456
33,1.121013834497167
34,0.08072107829495057
35,0.6674574635886392
36,0.4084218967579618
37,1.7951974168368974
38,1.8812767719680998
39,1.9591512076290902
40,1.4221753371170003
41,1.1656003288082681
42,1.6249150950704516
43,0.7967655022489444
44,2.220568673850403
45,2.080531815672141
46,2.1018493469846833
47,1.6271057513447458
48,2.486622419826303
49,2.291555856484221
