,x_deg,x_moteus_deg,y,l,mode,u_ff,q_current,d_current,torque,t_s
0,-19.651977539062496,37.3480224609375,0.15827894070765247,0.14472105929234752,2,0.0,-4.0,-0.5,-1.6910109519958496,8690.900896069
1,-18.097412109374996,38.902587890625,0.15617952074489708,0.14682047925510291,2,-1.8359559657051525,-5.2,0.0,-2.194648265838623,8690.903811249
2,-17.1251220703125,39.8748779296875,0.15486885448740148,0.1481311455125985,2,-1.768503483810127,-4.7,0.4,-1.9936456680297852,8690.905250255
3,-16.202270507812496,40.7977294921875,0.15362715907290844,0.14937284092709155,2,-1.7039920148462375,-4.4,0.2,-1.8440147638320923,8690.906547245
4,-15.273925781249998,41.72607421875,0.15238084859630935,0.15061915140369064,2,-1.6456710719837524,-4.4,0.4,-1.8606805801391602,8690.907819641
5,-14.301635742187495,42.6983642578125,0.15107904420720525,0.15192095579279474,2,-1.5885348835266448,-3.6,0.30000000000000004,-1.5240720510482788,8690.909158871
6,-13.356811523437498,43.6431884765625,0.14981795044777868,0.1531820495522213,2,-1.528446897003104,-3.8000000000000003,0.8,-1.586279273033142,8690.91045899
7,-12.406494140624996,44.593505859375,0.1485539333318868,0.1544460666681132,2,-1.4705960836923633,-3.8000000000000003,1.4000000000000001,-1.5807530879974365,8690.911750535
8,-11.4451904296875,45.5548095703125,0.1472802943606716,0.15571970563932838,2,-1.4133193578770977,-3.4000000000000004,1.7000000000000002,-1.4253544807434082,8690.913084857
9,-10.5443115234375,46.4556884765625,0.1460917027780313,0.1569082972219687,2,-1.3542566523721553,-3.3000000000000003,2.2,-1.3940517902374268,8690.914365513
10,-9.670898437500002,47.3291015625,0.14494433963175213,0.15805566036824786,2,-1.2981853725639447,-2.8000000000000003,2.5,-1.322317123413086,8690.915688428
11,-8.81396484375,48.18603515625,0.1438237433911158,0.15917625660888418,2,-1.2405563283027585,-2.8000000000000003,2.7,-1.20352041721344,8690.917051991
12,-7.973510742187497,49.0264892578125,0.1427299367815096,0.16027006321849038,2,-1.1813799665832412,-2.4000000000000004,2.3000000000000003,-1.014044165611267,8690.91834261
13,-7.231933593749999,49.76806640625,0.14176936271885268,0.1612306372811473,2,-1.1259619135717491,-2.4000000000000004,1.4000000000000001,-1.0057581663131714,8690.91963258
14,-6.495849609374998,50.504150390625,0.14082032878859646,0.16217967121140353,2,-1.0710523830558705,-2.1,1.0,-0.8933326005935669,8690.920963884
15,-5.798217773437497,51.2017822265625,0.13992511471900546,0.16307488528099454,2,-1.0130695758455075,-1.5,0.6000000000000001,-0.6413971781730652,8690.922312317
16,-5.1829833984374964,51.8170166015625,0.1391391913014249,0.16386080869857508,2,-0.957928799669459,-1.7000000000000002,0.8,-0.720421552658081,8690.923599418
17,-4.63916015625,52.36083984375,0.13844735660803406,0.16455264339196593,2,-0.9045341315408228,-1.8,0.2,-0.7704520225524902,8690.924880481
18,-4.117309570312499,52.8826904296875,0.13778607337403606,0.16521392662596393,2,-0.8515466631601325,-1.9000000000000001,0.0,-0.7963262796401978,8690.926160637
19,-3.622924804687498,53.3770751953125,0.1371619999992112,0.1658380000007888,2,-0.7995406756987125,-2.1,-0.4,-0.9084484577178955,8690.927472404
20,-3.1560058593749964,53.843994140625,0.13657479470272774,0.16642520529727226,2,-0.7467309657509089,-1.8,0.0,-0.774189293384552,8690.92877469
21,-2.7330322265624996,54.2669677734375,0.13604473558942728,0.1669552644105727,2,-0.6945316735435021,-1.5,0.0,-0.6378850340843201,8690.930078808
22,-2.326538085937495,54.6734619140625,0.13553704266230143,0.16746295733769856,2,-0.643142498493098,-1.4000000000000001,0.5,-0.5990885496139526,8690.931374631
23,-1.9530029296875004,55.0469970703125,0.13507201981270692,0.16792798018729307,2,-0.5926158782525746,-1.3,-0.1,-0.5665759444236755,8690.932687935
24,-1.5904541015625004,55.4095458984375,0.13462207397365225,0.16837792602634774,2,-0.5422149215640797,-1.4000000000000001,-0.2,-0.6048109531402588,8690.933993128
25,-1.2553710937500002,55.74462890625,0.13420745792482305,0.16879254207517694,2,-0.492592250744049,-1.3,0.0,-0.5422174334526062,8690.935275413
26,-0.953247070312497,56.0467529296875,0.13383466013358183,0.16916533986641816,2,-0.44476867171548373,-0.7000000000000001,-0.1,-0.30040696263313293,8690.936568014
27,-0.6511230468750002,56.348876953125,0.13346285625022394,0.16953714374977605,2,-0.39692578069054507,-0.7000000000000001,-0.5,-0.30714353919029236,8690.937848522
28,-0.3654785156249956,56.634521484375,0.13311225624426248,0.1698877437557375,2,-0.350525600418762,-0.8,0.2,-0.35613811016082764,8690.939100363
29,-0.09082031249999853,56.9091796875,0.1327759959126952,0.1702240040873048,2,-0.305370772516373,-0.7000000000000001,0.0,-0.30061161518096924,8690.940475889
30,0.1893310546875023,57.1893310546875,0.1324338821692803,0.1705661178307197,2,-0.2573056603007524,-0.1,0.0,-0.06109607219696045,8690.941807952
31,0.4530029296874982,57.4530029296875,0.13211270429320532,0.17088729570679467,2,-0.21128760378455813,-0.1,0.5,-0.07887936383485794,8690.943115774
32,0.7111816406249968,57.711181640625,0.13179898674747526,0.17120101325252474,2,-0.1671213636605715,-0.6000000000000001,0.0,-0.2542189061641693,8690.94447593
33,0.9858398437500066,57.98583984375,0.13146608716247904,0.17153391283752095,2,-0.1218281534940755,-0.6000000000000001,0.1,-0.27247029542922974,8690.945822529
34,1.2550048828124998,58.2550048828125,0.1311406952327324,0.1718593047672676,2,-0.07831736077749651,-0.7000000000000001,0.1,-0.3003601133823395,8690.947098741
35,1.529663085937497,58.5296630859375,0.13080953685832838,0.1721904631416716,2,-0.037735037131833904,-0.2,0.0,-0.11806630343198776,8690.948456915
36,1.8208007812500053,58.82080078125,0.13045948107954164,0.17254051892045835,2,0.004677047573875881,-0.30000000000000004,-0.2,-0.14688529074192047,8690.949774589
37,2.1064453124999973,59.1064453125,0.13011701045079205,0.17288298954920794,2,0.0446072042190484,-0.1,-0.1,-0.06678418070077896,8690.951080578
38,2.425048828124999,59.425048828125,0.129736179235902,0.173263820764098,2,0.08320388520141786,0.1,-0.1,0.0668395534157753,8690.952461215
39,2.7436523437500004,59.74365234375,0.12935657672799825,0.17364342327200175,2,0.12314549352941984,0.2,0.0,0.14639981091022491,8690.953809333
40,3.062255859375002,60.062255859375,0.12897821356927075,0.17402178643072924,2,0.16075783623091433,0.0,0.0,0.10944351553916931,8690.955138471
41,3.3918457031249987,60.391845703125,0.12858811873786077,0.17441188126213922,2,0.19692121086031777,0.2,0.5,0.0986797884106636,8690.956510792
42,3.721435546875008,60.721435546875,0.12819937280105098,0.174800627198949,2,0.23312389311235993,0.0,0.1,-0.02052999660372734,8690.957806115
43,4.051025390625004,61.051025390625,0.12781198695760257,0.17518801304239742,2,0.2663756015987171,0.6000000000000001,-0.2,0.2560158669948578,8690.959133937
44,4.369628906250006,61.36962890625,0.12743881716261526,0.17556118283738473,2,0.2988375425034546,0.5,0.1,0.23127616941928864,8690.960481019
45,4.704711914062506,61.7047119140625,0.12704773852459397,0.17595226147540602,2,0.33088431289859777,0.7000000000000001,0.0,0.32160794734954834,8690.961805989
46,5.039794921875007,62.039794921875,0.12665809901410457,0.17634190098589542,2,0.36112924287087056,0.7000000000000001,0.0,0.3513171672821045,8690.963105164
