,hop_energy
0,0.8626057295374157
1,1.9240296875531984
2,2.609735848357916
3,1.4429340228209275
4,0.9360394728315322
5,1.4915560271828747
6,0.7669017270443161
7,1.9157497400245616
8,2.674178642687978
9,1.4083057438417645
10,2.9211668354707268
11,2.3202503454190184
12,1.8364689716402003
13,2.521310255788266
14,0.6316086656204236
15,0.6667491249797228
16,1.309286399064888
17,1.688552161188209
18,3.086374023559709
19,0.9546529615404786
20,1.9700996154362196
21,1.1082082900736143
22,1.8401473560197168
23,0.822858082933843
24,1.8438888607153725
25,1.7335788351830255
26,1.396507642614461
27,0.9314642893724221
28,2.3123615558534203
29,1.9928413383221537
30,0.9382122781968762
31,2.304549526320267
32,2.57536873793933
33,0.9582202856403832
34,0.7406253813537527
35,2.2385058774909794
36,1.2054759736454352
37,0.9079775140731714
38,1.6812111167874173
39,2.6693775859230575
40,0.37208448825595397
41,-0.3855146846114801
42,1.5827276208545982
43,1.4232112738480103
44,1.4121075219791015
45,0.5161529554231672
46,1.2068589618247456
47,1.650897863129754
48,1.5003744197179314
49,1.66619522453788
