,hop_energy
0,1.4170192758196158
1,0.3171156193155529
2,2.007097885899448
3,2.094419368210713
4,1.3427208418798866
5,1.190425423535748
6,-0.08169477472784958
7,2.4944169420262297
8,2.172915286500195
9,1.440634874290148
10,1.069809405044766
11,1.6567781128609003
12,1.9074033434551412
13,0.8065876762032467
14,1.3007545197786339
15,2.122376854108338
16,0.7864908074079144
17,1.275917936817291
18,1.9873503463313789
19,2.4248546684340706
20,0.597905765064711
21,0.760219208317297
22,1.7254125811622822
23,0.24815615623330967
24,1.211560184010569
25,1.6973955637058697
26,2.9582946912293986
27,1.6635301973674546
28,2.2282885049842056
29,0.5575686108708799
30,2.842554849684884
31,2.5130059590349463
32,0.8598760559466108
33,2.469502327683875
34,1.7406644980241097
35,1.5112163691557061
36,1.3505375349115836
