,hop_energy
0,1.156958058712477
1,2.3478536174902898
2,1.8237694043397514
3,1.432615840887708
4,1.8209337764376663
5,2.4632960736442246
6,1.243423099163926
7,0.7582830389725492
8,1.2363965097060143
9,2.703704281639032
10,1.4020437897378661
11,2.611222827444154
12,0.41352121700909805
13,1.6022539571271315
14,1.7245000055230442
15,0.6955424593704596
16,1.0187528150097513
17,1.2123058748304745
18,2.6321544266239796
19,1.7506419046092594
20,1.857615084768435
21,1.994175077808051
22,1.7311016571881828
23,0.6082150878384809
24,2.3259191743168834
25,2.227504770653413
26,2.4843922575724964
27,1.6554860114596703
28,0.5057190510033047
29,1.6805649096158612
30,1.957770594366699
31,1.5437890631692461
32,1.9723375537973054
33,0.6058604837826147
34,2.44661053362875
35,2.438053356997286
36,0.19854921765148514
37,1.6177628598235971
38,1.6704015981081621
39,1.911211467479415
40,1.7698338541836511
41,1.058878442645252
42,2.3789130958374445
43,1.428494405341624
44,2.536205908445731
45,1.8205335846424893
46,2.1057721776339697
47,0.26983444996636585
48,2.159465077026292
49,1.3139091826145775
50,0.5821977946540322
51,1.8261303476300563
52,2.6000998037790293
53,2.225679718709511
54,0.44013532956170476
55,1.082393601309728
