,hop_energy
0,0.03371015174952019
1,1.66293602088742
2,1.5969907871801583
3,1.8582933171937261
4,1.7871147043733577
5,2.038474193893485
6,1.879944186726732
7,1.7371051327127747
8,1.524144408249696
9,1.587554239547738
10,1.7600853391849602
11,1.0652528455873842
12,1.4109806837097167
13,1.9958604962024857
14,1.8244639622377914
15,2.2203361844859293
16,2.3517844336651104
17,2.8341697305421256
18,2.4365988967187384
19,1.6999707851803008
20,1.8944697531439818
21,0.677667642672672
22,1.6436174248607642
23,2.570207872592846
24,1.2980685451269718
25,1.3788918677784077
26,1.7153455789346443
27,2.419018196393126
28,2.324839773247607
29,2.475179354711507
30,3.223848245435188
31,2.449734765624501
32,3.1969046601661057
33,-0.0717600771947533
34,1.6207394055081998
35,2.039064970667475
36,1.9015276767910416
