,Fx,Fy,Fz,Mx,My,Mz,t
73,2.396018,0.843481,-36.104461,-0.138375,-0.839188,0.035351,1742.858799422
74,2.668365,0.833922,-35.850338,-0.136125,-0.861776,0.034528,1742.859239901
75,2.836991,1.00565,-36.07156,-0.109525,-0.876505,0.03384,1742.859684343
76,2.868468,1.110355,-36.028585,-0.121856,-0.867864,0.026164,1742.86022871
77,2.777442,0.86998,-35.493055,-0.123482,-0.870417,0.031913,1742.860672189
78,2.67251,0.764187,-35.028028,-0.139035,-0.850545,0.024606,1742.86110015
79,2.746606,0.453134,-34.45704,-0.150075,-0.867925,0.028036,1742.861507221
80,2.672158,0.452056,-34.602353,-0.172762,-0.84362,0.018123,1742.861951682
81,2.496418,-0.127668,-34.473604,-0.205807,-0.841325,0.025651,1742.86239529
82,2.249944,-0.398244,-34.859244,-0.219125,-0.825573,0.020004,1742.862793843
83,2.167577,-0.61682,-35.046317,-0.235836,-0.818961,0.02245,1742.86308786
84,2.010661,-0.718673,-35.226436,-0.26841,-0.793273,0.015644,1742.863379488
85,1.979383,-1.092365,-34.873607,-0.287506,-0.805274,0.019917,1742.863813337
86,1.904755,-1.171453,-35.141871,-0.272153,-0.809055,0.022114,1742.864222631
87,1.48206,-1.393469,-35.32643,-0.310171,-0.775136,0.017332,1742.86467424
88,1.040244,-1.387435,-35.578056,-0.322649,-0.742239,0.015689,1742.86510946
89,0.721522,-1.230132,-35.715414,-0.323492,-0.710301,0.014186,1742.86551105
90,0.605031,-1.239678,-35.175601,-0.314386,-0.710266,0.013597,1742.865952103
91,0.374066,-1.035691,-35.020445,-0.30391,-0.687522,0.015086,1742.866392878
92,0.312017,-0.857496,-34.942874,-0.288949,-0.686576,0.014947,1742.86680119
93,0.122162,-0.656264,-35.375393,-0.273608,-0.67853,0.014196,1742.867254225
94,-0.032492,-0.350327,-35.912533,-0.259221,-0.661516,0.010573,1742.867682982
95,-0.038131,-0.152107,-36.09265,-0.249603,-0.655297,0.004415,1742.868108905
96,0.132285,0.015858,-35.953707,-0.224739,-0.675299,-0.001338,1742.86854994
97,0.444389,0.36898,-35.807399,-0.190746,-0.704911,-0.009337,1742.86915964
98,0.515346,0.767411,-36.058835,-0.173954,-0.697358,-0.024022,1742.869752507
99,0.557024,0.838934,-36.613232,-0.159513,-0.708561,-0.028654,1742.870491113
100,0.636514,0.892244,-37.089722,-0.154796,-0.712421,-0.032297,1742.871032721
101,0.769868,1.131387,-37.62539,-0.152102,-0.71679,-0.038081,1742.871634829
102,0.957653,1.315932,-37.175624,-0.138217,-0.727275,-0.033357,1742.872196511
103,1.367687,1.883259,-36.422284,-0.104652,-0.747241,-0.034858,1742.87298834
104,1.563484,2.12988,-35.790002,-0.072504,-0.775373,-0.025784,1742.873642391
105,1.448649,2.655789,-35.916316,-0.046324,-0.755889,-0.029488,1742.874383943
106,1.664499,2.873987,-35.920744,-0.004556,-0.775971,-0.027186,1742.874921106
107,1.539184,2.507713,-36.771453,-0.031207,-0.775174,-0.026933,1742.875644232
108,1.413019,1.977676,-37.626172,-0.072408,-0.763216,-0.025713,1742.888155918
109,1.022462,1.394078,-35.728517,-0.103587,-0.750063,0.000552,1742.896189908
110,1.520999,3.693681,-33.790939,0.034726,-0.769281,0.014838,1742.897003718
111,1.727504,3.817883,-33.964808,0.045799,-0.786817,0.018236,1742.897802491
112,1.796397,3.589257,-34.233116,0.045439,-0.791321,0.022294,1742.898536524
113,1.915667,3.565067,-34.153787,0.027396,-0.806166,0.018371,1742.89924302
114,1.86834,3.883063,-33.672077,0.038942,-0.793293,0.01032,1742.899770313
115,1.860722,4.005718,-31.925675,0.057313,-0.797013,0.008385,1742.900519161
116,1.799741,3.942722,-31.670729,0.050292,-0.793018,0.009003,1742.901056602
117,1.699934,4.04632,-31.790436,0.070958,-0.792743,0.004013,1742.901640432
118,1.297089,4.175853,-32.037797,0.064656,-0.760023,0.000865,1742.90224591
119,1.132134,4.60592,-31.228518,0.096419,-0.747135,-0.004464,1742.902949999
120,1.185599,4.816203,-30.910169,0.140027,-0.762028,-0.004973,1742.903472977
121,1.145891,4.76554,-30.764887,0.136905,-0.760424,-0.003512,1742.904102584
122,1.166834,4.706018,-30.661442,0.131476,-0.760515,-0.00753,1742.904834302
123,1.18188,4.768954,-30.511092,0.122055,-0.758679,-0.013045,1742.905546113
124,1.330716,4.853736,-30.405311,0.137621,-0.773285,-0.014724,1742.906050314
125,1.36926,4.930278,-30.256151,0.137243,-0.769746,-0.017038,1742.906644884
126,1.576671,5.02956,-30.289792,0.146784,-0.788063,-0.017732,1742.907232122
127,1.62122,5.027735,-30.364039,0.154107,-0.795947,-0.015385,1742.907931007
128,1.489989,5.078981,-30.977921,0.151332,-0.781991,-0.014204,1742.908487244
129,1.570528,5.155711,-31.416661,0.159914,-0.786727,-0.016295,1742.909263573
130,1.824306,5.228735,-31.199623,0.175232,-0.810938,-0.016401,1742.909975902
131,2.020996,5.433871,-30.709962,0.164904,-0.810144,-0.022512,1742.910640898
132,2.099549,5.292261,-30.214999,0.182933,-0.826735,-0.017537,1742.911243006
133,1.868405,5.132223,-30.032534,0.157756,-0.806439,-0.018458,1742.911949205
134,1.853024,4.995565,-30.152359,0.15896,-0.811031,-0.017781,1742.912501628
135,1.721566,4.975464,-30.440449,0.145604,-0.792634,-0.019086,1742.913086606
136,1.76204,4.857932,-30.770832,0.137516,-0.792669,-0.017241,1742.913662121
137,1.866236,4.775784,-30.884239,0.133254,-0.799897,-0.01792,1742.914379617
138,2.049477,4.794524,-31.278387,0.132611,-0.810339,-0.014311,1742.914926429
139,2.092913,4.600553,-31.910172,0.127451,-0.819979,-0.014897,1742.915718035
140,1.933759,4.132845,-31.959766,0.098118,-0.816049,-0.009567,1742.916540401
141,1.69282,4.035251,-33.020125,0.077719,-0.778679,-0.013539,1742.917070842
142,1.603199,3.5017,-33.005565,0.057344,-0.790414,-0.007665,1742.917828764
143,1.652391,3.110737,-33.057132,0.038818,-0.801236,-0.004619,1742.918383057
144,1.549663,2.612628,-33.215428,-0.004069,-0.794905,-0.003805,1742.919105719
145,1.382208,2.393798,-33.586558,-0.023144,-0.781623,-0.003685,1742.919655216
146,1.216694,2.19832,-33.997911,-0.034535,-0.770013,-0.004406,1742.920400138
147,1.155187,2.136936,-34.333466,-0.033626,-0.767337,-0.005927,1742.920922024
148,1.152141,2.139352,-34.476252,-0.038377,-0.764104,-0.005765,1742.921505946
149,1.30374,2.271727,-34.189374,-0.013749,-0.778352,-0.006778,1742.922089776
150,1.343407,2.344241,-33.850438,-0.017176,-0.780781,-0.004466,1742.922806105
151,1.300303,2.440123,-33.770352,-0.013999,-0.777536,-0.002903,1742.923347565
152,1.278735,2.649019,-33.917692,0.008187,-0.770249,-0.005986,1742.92375297
153,1.185648,2.825133,-34.125599,0.005329,-0.751335,-0.008816,1742.924378318
154,1.322323,2.743903,-33.732146,0.018683,-0.776718,-0.004532,1742.9249165
155,1.384064,2.829384,-33.470902,0.021758,-0.78016,-0.003793,1742.92550246
156,1.64139,2.99903,-33.397113,0.056722,-0.80415,0.002497,1742.926066883
157,1.517316,3.218832,-32.870551,0.072436,-0.781152,0.011924,1742.926813897
158,1.495677,3.254198,-32.69038,0.071357,-0.780213,0.007031,1742.927373245
159,1.566607,3.114743,-32.835356,0.031739,-0.782947,-0.004574,1742.928125371
160,1.802278,2.56703,-32.444254,-0.009782,-0.810232,-2.1e-05,1742.928812459
161,1.876154,2.356404,-31.580117,-0.013462,-0.818299,0.002582,1742.929515251
162,1.660149,2.484985,-31.792316,-0.015148,-0.783346,0.00133,1742.93006023
163,1.506791,2.328931,-31.475071,-0.005932,-0.781158,0.007935,1742.930637523
164,1.53794,2.459974,-31.910598,-0.008872,-0.771729,-0.000311,1742.931217853
165,1.374526,2.113332,-32.242983,-0.034699,-0.770374,0.005989,1742.931947978
166,1.372394,2.044031,-32.612665,-0.039818,-0.767113,0.003841,1742.932535086
167,1.509065,1.821439,-32.410839,-0.03464,-0.786489,0.005894,1742.933282378
168,1.559283,1.817241,-32.65993,-0.059105,-0.782713,-0.001627,1742.933787615
169,1.604556,1.817961,-32.369634,-0.052866,-0.782732,0.000634,1742.934393575
170,1.610735,1.691635,-32.047679,-0.055709,-0.789804,0.001896,1742.934943738
171,1.519604,1.817134,-32.00871,-0.061723,-0.773931,-0.006721,1742.93567053
172,1.463223,1.652635,-31.717679,-0.070026,-0.77759,-0.000685,1742.936239786
173,1.528576,1.61747,-31.610431,-0.066521,-0.780533,0.001671,1742.937030319
174,1.628331,1.634738,-31.713416,-0.072316,-0.783072,0.002723,1742.937690315
175,1.694554,1.619519,-31.608859,-0.066545,-0.794819,0.001754,1742.938406181
176,1.819606,1.672,-31.862215,-0.055773,-0.801651,0.005166,1742.939104344
177,1.836432,1.686176,-31.863705,-0.063022,-0.801373,-0.00113,1742.939659137
178,1.859512,1.579964,-32.09155,-0.062247,-0.799441,-0.001007,1742.940374021
179,1.984526,1.458288,-32.203704,-0.072215,-0.815493,-0.001758,1742.940925129
180,1.960578,1.253778,-32.719245,-0.092387,-0.815428,-0.003076,1742.941704384
181,1.805837,1.12766,-33.490285,-0.113627,-0.793506,-0.008898,1742.942418787
182,1.752412,0.722307,-33.61896,-0.129785,-0.797847,-0.006719,1742.943089746
183,1.648537,0.562687,-33.812855,-0.142335,-0.7932,-0.012323,1742.943651799
184,1.568085,0.416062,-33.817907,-0.149781,-0.786165,-0.009998,1742.94424298
185,1.546316,0.257894,-33.789333,-0.167408,-0.786417,-0.015617,1742.944845884
186,1.525469,0.174209,-34.089514,-0.170322,-0.784652,-0.018685,1742.945545177
187,1.514266,0.159562,-34.710463,-0.186919,-0.773188,-0.026856,1742.946254191
188,1.517133,0.138434,-35.304348,-0.171452,-0.770497,-0.025807,1742.947029075
189,1.496314,0.049771,-35.562143,-0.178726,-0.778184,-0.026605,1742.94750735
190,1.579784,0.029502,-35.860072,-0.173457,-0.78168,-0.027993,1742.948402234
191,1.470882,-0.250034,-36.079798,-0.210814,-0.775666,-0.029458,1742.949136711
192,1.578781,-0.384337,-36.123298,-0.213348,-0.789042,-0.028707,1742.949662782
193,1.462156,-0.218059,-36.595027,-0.218419,-0.766693,-0.03936,1742.95038663
194,1.430787,-0.516361,-36.131936,-0.230383,-0.772253,-0.035066,1742.951143681
195,1.433592,-0.542219,-35.954884,-0.228254,-0.773976,-0.03682,1742.951674067
196,1.510488,-0.583973,-36.131898,-0.24312,-0.772428,-0.037274,1742.952384137
197,1.679697,-0.65559,-36.501232,-0.237402,-0.790565,-0.034722,1742.952955319
198,1.79963,-0.773795,-36.719369,-0.257052,-0.801712,-0.03767,1742.953693314
199,1.686526,-0.65778,-36.966093,-0.262808,-0.779748,-0.039686,1742.954229478
200,1.801795,-0.823429,-36.800944,-0.254977,-0.804753,-0.04091,1742.954816548
201,1.672634,-0.844133,-36.759317,-0.267241,-0.784468,-0.039984,1742.95540099
202,1.736844,-1.027687,-36.693876,-0.281543,-0.795069,-0.04247,1742.956154004
203,1.632948,-1.087728,-36.551841,-0.288134,-0.781888,-0.044129,1742.956683186
204,1.632852,-1.16106,-36.482258,-0.296336,-0.783237,-0.046571,1742.957420848
205,1.714912,-1.062449,-36.369113,-0.290512,-0.788228,-0.047346,1742.957944586
206,1.757099,-0.772167,-36.143407,-0.264481,-0.791146,-0.047458,1742.958732285
207,1.813332,-0.441335,-36.387387,-0.24392,-0.792775,-0.049587,1742.959571187
208,1.796416,-0.601665,-36.134049,-0.25433,-0.793611,-0.0458,1742.960268739
209,2.011913,-0.627818,-36.180144,-0.237339,-0.819163,-0.045118,1742.961017012
210,1.938176,-0.508762,-35.983383,-0.253051,-0.792981,-0.047181,1742.961694194
211,1.986066,-0.348107,-35.656374,-0.230145,-0.811588,-0.048426,1742.96243806
212,1.949614,-0.351579,-35.700864,-0.217817,-0.81325,-0.048587,1742.963156463
213,1.889114,-0.486,-35.7794,-0.225162,-0.809184,-0.047819,1742.963855144
214,1.825703,-0.644151,-35.524957,-0.246609,-0.802638,-0.048716,1742.964557325
215,1.784754,-0.645874,-35.562383,-0.245462,-0.801658,-0.048761,1742.965139396
216,1.659957,-0.596529,-35.531624,-0.239741,-0.786232,-0.052783,1742.965807818
217,1.69946,-0.85832,-35.903418,-0.262677,-0.785253,-0.053279,1742.966358259
218,1.697768,-1.218855,-36.937341,-0.286312,-0.78817,-0.05278,1742.966950922
219,1.873002,-1.291228,-37.042361,-0.316113,-0.788203,-0.060226,1742.967496141
220,1.880495,-1.182506,-36.384524,-0.301571,-0.806605,-0.060098,1742.96805699
221,1.700132,-1.100335,-35.954146,-0.28211,-0.786447,-0.059668,1742.968684097
222,1.887345,-1.226685,-36.067556,-0.288936,-0.794246,-0.058621,1742.969395075
223,2.033822,-1.359273,-36.213314,-0.297651,-0.809806,-0.055328,1742.969939905
224,1.920759,-1.079473,-36.528041,-0.290099,-0.799638,-0.05827,1742.970712789
225,1.878277,-1.122952,-36.941536,-0.287185,-0.788939,-0.0636,1742.971386452
226,1.778576,-1.405007,-37.503841,-0.296949,-0.78821,-0.062747,1742.971925708
227,0.167524,-2.345123,-43.186229,-0.337486,-0.672411,-0.069692,1742.972515538
228,1.788185,-4.181061,-42.863404,-0.492432,-0.746302,-0.06813,1742.973191219
229,2.33039,-4.582055,-42.720839,-0.536777,-0.833525,-0.074835,1742.973575199
230,1.78724,-4.596884,-43.277567,-0.543691,-0.809444,-0.084656,1742.974091288
