,x_deg,x_moteus_deg,y,l,mode,u_ff,t_s
0,-34.921875,-94.921875,0.18125121676922235,0.11874878323077764,2,0.0,3924.219864727
1,-34.50439453125001,-94.50439453125,0.18071351971931582,0.11928648028068417,2,0.6367687075860815,3924.222256268
2,-34.2572021484375,-94.2572021484375,0.18039441578858112,0.11960558421141887,2,0.6641566128707614,3924.223575964
3,-34.0264892578125,-94.0264892578125,0.18009610615601146,0.11990389384398853,2,0.6875041909865944,3924.224921029
4,-33.790283203125,-93.790283203125,0.1797902232995338,0.12020977670046618,2,0.7101805332988169,3924.226199151
5,-33.57055664062501,-93.570556640625,0.1795052613309042,0.1204947386690958,2,0.7307023088370028,3924.227481884
6,-33.31787109375001,-93.31787109375,0.17917706435192068,0.1208229356480793,2,0.7502777152973725,3924.228723284
7,-33.0816650390625,-93.0816650390625,0.17886980598155267,0.12113019401844732,2,0.7683922989033867,3924.229991313
8,-32.82897949218751,-92.8289794921875,0.1785406232300634,0.1214593767699366,2,0.7855039383329445,3924.231220675
9,-32.5982666015625,-92.5982666015625,0.17823963373273927,0.12176036626726072,2,0.8007526050419596,3924.232453464
10,-32.3565673828125,-92.3565673828125,0.17792387908731874,0.12207612091268125,2,0.8157925663275973,3924.23375603
11,-32.08740234375001,-92.08740234375,0.17757173404529955,0.12242826595470044,2,0.8296121537300822,3924.235001078
12,-31.8511962890625,-91.8511962890625,0.1772622767794301,0.12273772322056989,2,0.8423887123319149,3924.236255866
13,-31.587524414062507,-91.5875244140625,0.17691637046835273,0.12308362953164725,2,0.8538696650028494,3924.237497581
14,-31.32934570312501,-91.329345703125,0.17657720601915938,0.1234227939808406,2,0.8644079540616196,3924.238730536
15,-31.043701171875007,-91.043701171875,0.17620143874767188,0.1237985612523281,2,0.8740873739501231,3924.239980862
16,-30.7745361328125,-90.7745361328125,0.17584686264284222,0.12415313735715777,2,0.8830071823243901,3924.241302428
17,-30.494384765625,-90.494384765625,0.1754773258660876,0.12452267413391238,2,0.8907580999432085,3924.242518568
18,-30.214233398437496,-90.2142333984375,0.17510730575317837,0.12489269424682162,2,0.8971797468029072,3924.24375595
19,-29.912109375000007,-89.912109375,0.1747077397823109,0.12529226021768908,2,0.9029562148487669,3924.245034738
20,-29.626464843750004,-89.62646484375,0.17432948391868555,0.12567051608131444,2,0.9078863007478308,3924.246259841
21,-29.346313476562504,-89.3463134765625,0.17395806029462957,0.12604193970537042,2,0.9117450942239926,3924.247454519
22,-29.071655273437504,-89.0716552734375,0.17359350899287299,0.126406491007127,2,0.914742324468452,3924.248777567
23,-28.742065429687507,-88.7420654296875,0.17315553065228612,0.12684446934771387,2,0.9170341295282276,3924.250014503
24,-28.401489257812504,-88.4014892578125,0.1727023848855228,0.12729761511447718,2,0.9183160485805015,3924.251275847
25,-28.027954101562504,-88.0279541015625,0.17220475340927244,0.12779524659072755,2,0.9187749040224242,3924.252485358
26,-27.604980468750007,-87.60498046875,0.17164050233368272,0.12835949766631727,2,0.9183974399082488,3924.25373598
27,-27.154541015625004,-87.154541015625,0.17103878269536993,0.12896121730463006,2,0.9172352876547358,3924.25497351
28,-26.643676757812496,-86.6436767578125,0.1703553854974026,0.1296446145025974,2,0.9152362530082871,3924.256268057
29,-26.02844238281251,-86.0284423828125,0.1695311376965204,0.1304688623034796,2,0.9123509443069118,3924.257561734
30,-25.374755859375007,-85.374755859375,0.1686540629442051,0.1313459370557949,2,0.9086237032403783,3924.258786005
31,-24.6771240234375,-84.6771240234375,0.16771673906969123,0.13228326093030876,2,0.9042354688775361,3924.260130552
32,-23.825683593750004,-83.82568359375,0.1665712806236936,0.13342871937630638,2,0.8985672854507605,3924.261495173
33,-23.07312011718751,-83.0731201171875,0.16555779153870243,0.13444220846129756,2,0.8920956439462644,3924.262788443
34,-22.25463867187501,-82.254638671875,0.16445474745654998,0.13554525254345,2,0.8852039668306473,3924.26406875
35,-21.463623046875004,-81.463623046875,0.16338826780031251,0.13661173219968747,2,0.8775046815176764,3924.265371834
36,-20.694580078125,-80.694580078125,0.1623512932110462,0.1376487067889538,2,0.8691803465053205,3924.266628919
37,-19.909057617187507,-79.9090576171875,0.16129227997471093,0.13870772002528906,2,0.8601489479584423,3924.267888281
38,-19.07958984375,-79.07958984375,0.1601745567409362,0.1398254432590638,2,0.8506333339635928,3924.26919844
39,-18.244628906250004,-78.24462890625,0.15905034113861366,0.14094965886138633,2,0.8397995497161066,3924.270412581
40,-17.415161132812507,-77.4151611328125,0.15793477978751855,0.14206522021248144,2,0.8293950571789985,3924.271678517
41,-16.525268554687507,-76.5252685546875,0.15673974399602394,0.14326025600397604,2,0.8173856238417978,3924.273012972
42,-15.607910156250005,-75.60791015625,0.15551020422507805,0.14448979577492194,2,0.8047695956503469,3924.274254316
43,-14.739990234375009,-74.739990234375,0.15434956114076348,0.1456504388592365,2,0.7921862283698201,3924.275502438
44,-13.85009765625001,-73.85009765625,0.15316260120841818,0.1468373987915818,2,0.7789288479900491,3924.276728912
