,x_deg,x_moteus_deg,y,l,mode,u_ff,t_s
0,-34.80102539062501,-94.801025390625,0.18109572922301678,0.1189042707769832,2,0.0,3924.991052743
1,-34.405517578125,-94.405517578125,0.18058594251779717,0.11941405748220282,2,0.6351788727411114,3924.993333062
2,-34.16931152343751,-94.1693115234375,0.1802808281200825,0.11971917187991749,2,0.662190696383741,3924.994658591
3,-33.96606445312501,-93.966064453125,0.18001790203010448,0.11998209796989551,2,0.6857770175217457,3924.995920657
4,-33.7298583984375,-93.7298583984375,0.17971189877229424,0.12028810122770575,2,0.7073483199016737,3924.997261408
5,-33.49914550781251,-93.4991455078125,0.17941256280298767,0.12058743719701231,2,0.728798140609564,3924.998468123
6,-33.284912109375,-93.284912109375,0.1791342178820221,0.12086578211797788,2,0.747671535400185,3924.999728985
7,-33.03771972656251,-93.0377197265625,0.17881259273712632,0.12118740726287366,2,0.7655640570444271,3925.001089384
8,-32.71911621093751,-92.7191162109375,0.17839734570721655,0.12160265429278344,2,0.7855602248617095,3925.00269443
9,-32.41699218750001,-92.4169921875,0.17800285871442345,0.12199714128557654,2,0.8050785123472053,3925.004199957
10,-32.12585449218751,-92.1258544921875,0.1776220728603381,0.12237792713966189,2,0.8221583629513762,3925.005530412
11,-31.840209960937504,-91.8402099609375,0.1772478737469314,0.12275212625306858,2,0.8357415817613245,3925.006796793
12,-31.582031250000004,-91.58203125,0.1769091589471876,0.1230908410528124,2,0.847975834828137,3925.0080666
13,-31.285400390625007,-91.285400390625,0.17651943096753214,0.12348056903246785,2,0.8594334154452112,3925.009324852
14,-30.972290039062507,-90.9722900390625,0.1761074130908756,0.12389258690912439,2,0.8696360247310266,3925.010608566
15,-30.670166015625004,-90.670166015625,0.17570924950859038,0.12429075049140961,2,0.8788083350115248,3925.011843243
16,-30.36254882812501,-90.362548828125,0.17530325805861519,0.1246967419413848,2,0.8869253827490866,3925.013142106
17,-30.06591796875,-90.06591796875,0.17491122212631569,0.1250887778736843,2,0.8942729460923433,3925.014405616
18,-29.769287109375,-89.769287109375,0.17451866968581944,0.12548133031418054,2,0.9005333827308675,3925.01559522
19,-29.45068359375001,-89.45068359375,0.17409648400189737,0.12590351599810262,2,0.9056550234746155,3925.016883471
20,-29.126586914062504,-89.1265869140625,0.17366645109230275,0.12633354890769724,2,0.9101240844778604,3925.018090649
21,-28.802490234375,-88.802490234375,0.17323586789576897,0.12676413210423101,2,0.9134938318476202,3925.019364012
22,-28.48388671875001,-88.48388671875,0.17281206848274816,0.12718793151725183,2,0.9160803988359876,3925.020616319
23,-28.159790039062504,-88.1597900390625,0.17238046158048023,0.12761953841951976,2,0.9178244841115102,3925.021890311
24,-27.7972412109375,-87.7972412109375,0.1718970767238135,0.1281029232761865,2,0.9186729579106441,3925.023118951
25,-27.396240234375004,-87.396240234375,0.1713617593967383,0.12863824060326168,2,0.9186764851171318,3925.024397258
26,-26.94580078125,-86.94580078125,0.1707596636748234,0.1292403363251766,2,0.9178281187816777,3925.025660028
27,-26.473388671875007,-86.473388671875,0.17012737447940593,0.12987262552059406,2,0.9161530918045333,3925.02690815
28,-25.962524414062504,-85.9625244140625,0.16944275152637797,0.13055724847362202,2,0.9136935388073826,3925.028149865
29,-25.319824218750007,-85.31982421875,0.16858030332641016,0.13141969667358983,2,0.9104530702211793,3925.029406005
30,-24.649658203125007,-84.649658203125,0.1676798124033731,0.1323201875966269,2,0.9063750181930107,3925.030680793
31,-23.957519531250004,-83.95751953125,0.1667487337165819,0.1332512662834181,2,0.9015394421040193,3925.031901878
32,-23.1719970703125,-83.1719970703125,0.16569099642085247,0.13430900357914752,2,0.896139126805106,3925.033179796
