,hop_energy
0,2.979722478749896
1,2.6159081564336097
2,3.37332880120198
3,2.1569014531951876
4,2.3954685287225517
5,2.653211311069166
6,2.317758947866001
7,2.138926401439243
8,2.0474433329252015
9,2.0196668094919104
10,2.564333161711318
11,1.974332677665624
12,2.8090750839901695
13,2.7550813994274654
14,2.926046837618697
15,2.1018599823025803
16,2.9845924241564736
17,2.1199276746391993
18,2.440610641475398
19,2.4324228363921665
