,Fx,Fy,Fz,Mx,My,Mz,t
63,1.219674,-2.997271,-32.574243,-0.432697,-0.785031,-0.019315,10302.888398842
64,1.366086,-3.152182,-32.763085,-0.441348,-0.797626,-0.019967,10302.888833727
65,1.575322,-3.072531,-33.3191,-0.418706,-0.810236,-0.021991,10302.88924776
66,1.616065,-3.292881,-33.430245,-0.442114,-0.82108,-0.021973,10302.889683849
67,1.677358,-3.3522,-33.832379,-0.444953,-0.828587,-0.02096,10302.890121197
68,1.716712,-3.422083,-34.087907,-0.452771,-0.830011,-0.02075,10302.890535656
69,1.741579,-3.487331,-34.349606,-0.447389,-0.84283,-0.020025,10302.890971208
70,1.78179,-3.458913,-34.569805,-0.442957,-0.840828,-0.020616,10302.891412852
71,1.739298,-3.485556,-35.010511,-0.443212,-0.844684,-0.022105,10302.891820441
72,1.716745,-3.594069,-35.413994,-0.452685,-0.844899,-0.021912,10302.892259178
73,1.734462,-3.458678,-35.704577,-0.442531,-0.845569,-0.024912,10302.892693804
74,1.599694,-3.428156,-35.952264,-0.459074,-0.823253,-0.027731,10302.893112486
75,1.635586,-3.324703,-36.38497,-0.455042,-0.818689,-0.028118,10302.893547074
76,1.694443,-3.311096,-36.631601,-0.459889,-0.824609,-0.024714,10302.893830887
77,1.858366,-3.285003,-36.994011,-0.458383,-0.842292,-0.02527,10302.894265087
78,1.904345,-2.820236,-37.819871,-0.436574,-0.824765,-0.033124,10302.894681824
79,2.151875,-2.696222,-38.288888,-0.42296,-0.849766,-0.032011,10302.895127227
80,2.292453,-2.512735,-38.716332,-0.412649,-0.865758,-0.031711,10302.895686833
81,2.503034,-2.393656,-39.041554,-0.391987,-0.893855,-0.028448,10302.896119348
82,2.533113,-2.095622,-39.719565,-0.381274,-0.890329,-0.030242,10302.896556196
83,2.709683,-1.932277,-39.862039,-0.341796,-0.918293,-0.019266,10302.897116284
84,2.642203,-1.727311,-40.220348,-0.331289,-0.916747,-0.022299,10302.89755178
85,2.470155,-1.582485,-40.582263,-0.327344,-0.903385,-0.026929,10302.898009332
86,2.41574,-1.625373,-40.695606,-0.3131,-0.908076,-0.01997,10302.898398273
87,2.154483,-1.550949,-41.126862,-0.32951,-0.883193,-0.026834,10302.898689196
88,1.950061,-1.701199,-41.022692,-0.338459,-0.868773,-0.02467,10302.899157155
89,1.726254,-1.915045,-40.925762,-0.350661,-0.858598,-0.02661,10302.899545244
90,1.588925,-2.199574,-40.79356,-0.360836,-0.852248,-0.023741,10302.899978222
91,1.379999,-2.37096,-40.584256,-0.382231,-0.832939,-0.030286,10302.900414107
92,1.21595,-2.739966,-40.374078,-0.416982,-0.824981,-0.030546,10302.900837473
93,1.116551,-2.876446,-40.239424,-0.42074,-0.818709,-0.032365,10302.901261525
94,1.048804,-2.981301,-40.204256,-0.44247,-0.805194,-0.037004,10302.901703243
95,0.97301,-3.204418,-39.962853,-0.449667,-0.803647,-0.037341,10302.902121869
96,0.969979,-3.226856,-39.887436,-0.459771,-0.800402,-0.038878,10302.902548088
97,0.949275,-3.288226,-39.740706,-0.46791,-0.798752,-0.038151,10302.902989417
98,0.921778,-3.12619,-39.993423,-0.463552,-0.790763,-0.044262,10302.90340558
99,0.944351,-3.019024,-40.063667,-0.449062,-0.796317,-0.041907,10302.903834317
100,0.950555,-3.000951,-39.69869,-0.439569,-0.804305,-0.038286,10302.904278795
101,0.941976,-2.658445,-39.717285,-0.427781,-0.798721,-0.039677,10302.904698069
102,0.972122,-2.581609,-39.353515,-0.405435,-0.811627,-0.034548,10302.905119139
103,0.993852,-2.44822,-39.24025,-0.391851,-0.812059,-0.033002,10302.905409544
104,1.008008,-2.238361,-39.153829,-0.38865,-0.806696,-0.033637,10302.905699412
105,1.086256,-1.96914,-38.998368,-0.376367,-0.810023,-0.037556,10302.906117705
106,1.084251,-1.772703,-38.804859,-0.364583,-0.802827,-0.034333,10302.906561849
107,1.210266,-1.676022,-38.507777,-0.356571,-0.814217,-0.03285,10302.906996012
108,1.310955,-1.467107,-38.569732,-0.343466,-0.819989,-0.03109,10302.907406619
109,1.432212,-1.220243,-38.566678,-0.32612,-0.825178,-0.036527,10302.907843171
110,1.575775,-1.227183,-38.378821,-0.332242,-0.829722,-0.03481,10302.90827576
