,hop_energy
0,2.3154720622674043
1,1.689825086167839
2,1.7128224123337965
3,1.6280532036791673
4,1.0465849832599927
5,1.0550406301343926
6,2.127517899589048
7,2.6972195839558895
8,1.9841471551090075
9,0.5957604957688192
10,1.1519360807079115
11,1.2073448454780342
12,0.6541635251685607
13,1.256678869368308
14,0.25437056241695366
15,1.6553839275375513
16,1.5949905586148931
17,1.5925361724758584
18,1.8763475644446377
19,2.2629432283926
20,1.050004500389245
21,1.435389627783306
22,1.3554082306074227
23,1.359811780402488
24,0.2442020491413306
25,0.8517653124970366
26,1.3120731202861666
27,0.6968446635129864
28,0.9987902000771092
29,1.5698640317707477
30,1.72163019894945
31,2.1194964689422315
32,1.5008707737755937
33,1.7835792408342828
34,1.6430416626798632
35,2.102188928387278
36,0.21090553819440938
37,0.9419893310767904
38,1.1523737711098336
39,0.8646457926660327
40,0.9164869622608238
41,1.9445574293707741
42,1.1046742903971687
43,1.1151143003467858
44,2.0686169407555273
45,1.744837056397385
46,2.054626396911571
47,0.6808495029490578
48,1.7625997803866431
49,1.3255197281597466
50,0.15183535336082343
51,1.4640413576168
52,0.0327197806427435
53,1.8673440176258103
54,3.2125484678276273
55,1.8625703706831729
56,0.5327215103869332
57,1.8916506399918083
58,2.26442810536523
59,2.0399449873248985
60,0.5388939170618796
61,1.3985459509967866
62,0.34666849432942204
