,Fx,Fy,Fz,Mx,My,Mz,t
72,1.322585,-1.244858,-42.047837,-0.28799,-0.757799,0.041085,1044.313788133
73,1.88328,-1.124793,-41.232697,-0.284503,-0.791243,0.043554,1044.31421343
74,2.198132,-1.013634,-40.648576,-0.272678,-0.816586,0.04098,1044.314480993
75,2.671728,-0.866677,-40.202619,-0.26972,-0.839515,0.038088,1044.314931919
76,3.121192,-1.028719,-39.227156,-0.267276,-0.88762,0.039087,1044.315367604
77,3.457078,-0.972455,-39.007811,-0.252737,-0.905817,0.0424,1044.315768939
78,3.583975,-1.145357,-38.683055,-0.269801,-0.924225,0.04059,1044.316213939
79,3.498049,-1.336095,-38.835503,-0.290958,-0.911439,0.037555,1044.316647458
80,3.453644,-1.430301,-39.133109,-0.301334,-0.904858,0.033766,1044.317057867
81,3.541562,-1.818911,-38.519326,-0.335002,-0.91142,0.036678,1044.317493015
82,3.538495,-1.745335,-38.448398,-0.335587,-0.910425,0.029504,1044.317936497
83,3.195504,-2.01522,-38.247576,-0.343783,-0.899842,0.028835,1044.318488196
84,2.864218,-2.212219,-38.370346,-0.357681,-0.871083,0.025527,1044.318929863
85,2.464803,-2.443554,-38.812973,-0.38537,-0.834662,0.02488,1044.319356808
86,2.220325,-2.933094,-38.829775,-0.420799,-0.817495,0.026269,1044.319917673
87,2.038443,-3.197096,-38.467954,-0.442574,-0.812759,0.030609,1044.320369265
88,1.788231,-3.085371,-37.986815,-0.444957,-0.800815,0.028564,1044.320784007
89,1.371679,-2.779274,-37.39606,-0.429162,-0.768247,0.024851,1044.321206138
90,0.977693,-2.293189,-37.057814,-0.38942,-0.742024,0.02356,1044.321651693
91,0.444211,-1.675614,-36.88967,-0.367571,-0.685843,0.016386,1044.322071102
92,0.198921,-1.250995,-36.294905,-0.329955,-0.674812,0.01816,1044.322491417
93,0.09978,-0.786222,-35.847695,-0.282982,-0.672957,0.020094,1044.322947361
94,-0.137859,-0.099794,-35.417893,-0.248902,-0.652992,0.017507,1044.323496246
95,-0.334486,0.523403,-35.990658,-0.202732,-0.626536,0.010728,1044.323929042
96,-0.330131,0.712904,-35.841412,-0.177796,-0.632327,0.013694,1044.324370339
97,-0.331908,1.099127,-36.237814,-0.140779,-0.63761,0.010609,1044.324920297
98,-0.337751,1.316898,-36.305342,-0.134038,-0.640109,0.003497,1044.325360779
99,-0.257387,1.561966,-36.26335,-0.116853,-0.643621,0.000389,1044.325793761
100,-0.109994,1.76874,-35.971463,-0.095262,-0.655327,-0.002923,1044.326202429
101,0.119883,1.807292,-35.830266,-0.088773,-0.675351,-0.007717,1044.326648855
102,0.295494,1.930672,-36.115866,-0.095378,-0.672007,-0.014264,1044.327078614
103,0.415577,1.813558,-36.185002,-0.116229,-0.679573,-0.014838,1044.327489208
104,0.519135,1.754227,-36.768473,-0.11531,-0.69254,-0.011357,1044.327940282
105,0.725027,1.687126,-37.094305,-0.120542,-0.706863,-0.008624,1044.32851111
106,1.037816,1.681457,-37.130584,-0.115343,-0.728182,-0.006814,1044.328924482
107,1.300936,1.777587,-37.26788,-0.117609,-0.737549,-0.007934,1044.329367093
108,1.777705,1.892705,-37.187144,-0.10927,-0.777442,-0.007718,1044.329929754
109,1.819531,2.037522,-37.180945,-0.095677,-0.78232,-0.005332,1044.330358496
110,1.738876,2.008189,-37.146412,-0.095045,-0.782653,-0.004721,1044.330797089
111,1.569896,1.939943,-37.588299,-0.0998,-0.759221,-0.00443,1044.331351602
112,1.55892,1.581182,-37.528448,-0.113402,-0.769866,0.000831,1044.331804195
113,1.500942,1.324056,-37.24972,-0.130751,-0.766665,-0.001815,1044.332229325
114,1.472581,1.174751,-37.651963,-0.154893,-0.753145,-0.004545,1044.332636271
115,1.434432,1.021991,-37.69113,-0.164323,-0.763181,-0.00236,1044.332932444
116,1.332678,0.788934,-37.954343,-0.1788,-0.75943,-0.000771,1044.333370166
117,1.274353,0.725016,-38.220737,-0.171868,-0.760718,-0.002432,1044.333783964
118,1.205018,0.836282,-38.364007,-0.175671,-0.752336,-0.009441,1044.334210983
119,1.063479,0.598713,-38.478595,-0.190634,-0.751388,-0.005647,1044.334655983
120,0.959256,0.61115,-38.407891,-0.190361,-0.738975,-0.007283,1044.334925194
