,x_deg,x_moteus_deg,y,l,mode,u_ff,q_current,d_current,torque,t_s
0,-19.91748046875,-22.91748046875,0.15863783024007094,0.14436216975992905,2,0.0,-3.8000000000000003,0.1,-1.585367202758789,5098.481554198
1,-18.2969970703125,-21.2969970703125,0.1564488263580544,0.1465511736419456,2,-2.0981811130059738,-3.8000000000000003,-0.4,-1.610823631286621,5098.484559378
2,-17.3961181640625,-20.3961181640625,0.15523393284804643,0.14776606715195356,2,-2.0092577621174517,-6.300000000000001,-0.2,-2.649412155151367,5098.485997608
3,-16.588623046874996,-19.588623046875,0.15414668835203163,0.14885331164796836,2,-1.930330550099439,-5.800000000000001,0.30000000000000004,-2.452450752258301,5098.487357986
4,-15.781127929687498,-18.7811279296875,0.1530613979529922,0.1499386020470078,2,-1.8553051163435685,-5.5,0.0,-2.3258867263793945,5098.488733105
5,-14.9736328125,-17.9736328125,0.15197837781279358,0.1510216221872064,2,-1.7788501062318565,-5.6000000000000005,-0.7000000000000001,-2.364799976348877,5098.490089668
6,-14.259521484375,-17.259521484375,0.15102274631516183,0.15197725368483816,2,-1.7059482716943082,-5.5,0.0,-2.3177192211151123,5098.491447343
7,-13.534423828125,-16.534423828125,0.15005469754988157,0.15294530245011842,2,-1.6333400948625192,-6.0,0.6000000000000001,-2.499244451522827,5098.492789499
8,-12.8477783203125,-15.8477783203125,0.14914030465352754,0.15385969534647245,2,-1.5617231736998347,-5.5,1.5,-2.3244311809539795,5098.494145766
9,-12.2325439453125,-15.2325439453125,0.14832307905174752,0.15467692094825247,2,-1.490945049016156,-5.800000000000001,1.7000000000000002,-2.4433064460754395,5098.495478644
10,-11.6337890625,-14.6337890625,0.1475297511643535,0.1554702488356465,2,-1.4215884956028986,-5.7,2.5,-2.3640878200531006,5098.496832948
11,-11.0570068359375,-14.0570068359375,0.14676752066122614,0.15623247933877385,2,-1.3522815943366964,-5.4,2.3000000000000003,-2.325774669647217,5098.498195826
12,-10.4912109375,-13.4912109375,0.14602180296855916,0.15697819703144084,2,-1.2830868898143906,-5.6000000000000005,1.9000000000000001,-2.3437623977661133,5098.499513946
13,-9.963867187500002,-12.9638671875,0.14532862940604863,0.15767137059395137,2,-1.2150452843118693,-5.5,1.9000000000000001,-2.294802188873291,5098.500949045
14,-9.420043945312502,-12.4200439453125,0.14461576217983133,0.15838423782016867,2,-1.1448993737553739,-5.6000000000000005,1.5,-2.349057912826538,5098.502286257
15,-8.936645507812502,-11.9366455078125,0.14398384715438767,0.15901615284561232,2,-1.0797405997439076,-5.9,1.4000000000000001,-2.487489700317383,5098.503621469
16,-8.436767578125002,-11.436767578125,0.1433321810056385,0.1596678189943615,2,-1.0138899662373464,-5.800000000000001,1.6,-2.425528049468994,5098.505027791
17,-7.9259033203125,-10.9259033203125,0.14266813974975262,0.16033186025024737,2,-0.9471457277319142,-5.7,1.4000000000000001,-2.457566261291504,5098.506405224
18,-7.4150390625,-10.4150390625,0.14200613313737595,0.16099386686262404,2,-0.8829922201863356,-5.6000000000000005,1.1,-2.3709094524383545,5098.507722122
19,-6.8822021484375,-9.8822021484375,0.14131789195737973,0.16168210804262026,2,-0.8213739646389049,-5.800000000000001,1.1,-2.448941707611084,5098.509113611
20,-6.393310546875001,-9.393310546875,0.14068848582894386,0.16231151417105613,2,-0.7576716192246193,-5.6000000000000005,0.6000000000000001,-2.330172538757324,5098.510451118
21,-5.89892578125,-8.89892578125,0.14005408372814185,0.16294591627185814,2,-0.698153920205606,-5.800000000000001,1.2000000000000002,-2.4540114402770996,5098.511814237
22,-5.366088867187501,-8.3660888671875,0.13937274175190414,0.16362725824809585,2,-0.6376195180031066,-5.5,0.7000000000000001,-2.348111629486084,5098.513214967
23,-4.838745117187501,-7.8387451171875,0.13870094494079221,0.16429905505920778,2,-0.5772359586530633,-5.300000000000001,1.0,-2.298562526702881,5098.514704066
24,-4.2674560546875,-7.2674560546875,0.13797607274693097,0.16502392725306902,2,-0.5137783830608735,-5.4,1.5,-2.2504913806915283,5098.516080222
25,-3.701660156250001,-6.70166015625,0.1372612305364996,0.16573876946350038,2,-0.4563060348767931,-5.6000000000000005,0.5,-2.3309028148651123,5098.517425378
26,-3.17431640625,-6.17431640625,0.13659778159428904,0.16640221840571096,2,-0.4014442043317412,-5.6000000000000005,0.8,-2.3306751251220703,5098.518821441
27,-2.6085205078125,-5.6085205078125,0.13588904617463232,0.16711095382536767,2,-0.3450514028533356,-5.7,0.7000000000000001,-2.391432523727417,5098.520200727
28,-2.0921630859374996,-5.0921630859375,0.1352450936356777,0.1677549063643223,2,-0.2912387808649215,-5.7,1.1,-2.371847629547119,5098.521533716
29,-1.5758056640625002,-4.5758056640625,0.13460392360588935,0.16839607639411064,2,-0.23978001627164947,-5.2,0.4,-2.172276020050049,5098.522868928
