,hop_energy
0,2.622645234400908
1,2.991597076690037
2,2.3141136292308886
3,2.654916037469725
4,3.5201946957711616
5,2.3115447951946875
6,3.398974031804187
7,2.621200654765156
8,2.232094079101117
9,2.898084014999183
10,1.9743914840149746
11,2.0706490478033626
12,1.897135112748944
13,2.72680436974143
14,2.130276375453673
15,2.734119741768793
16,1.7225382254941426
17,2.708595484252804
18,2.3277052498564963
19,1.4555925623352408
20,2.9101620646550588
21,2.397973664994826
22,2.7277363730794635
23,1.422255327877794
24,2.4553328724804544
25,1.2053790885521591
26,2.2572422069735945
27,2.4733573957009876
28,3.279833185342695
29,2.8272713935296867
30,2.9971549882221717
31,2.724591524199985
32,2.3622609197679125
33,3.097238742471636
34,3.6356340042599964
35,2.0381135666943706
36,2.4807977142005733
37,1.094562453718492
38,3.2435723424135903
39,2.7105197355472646
40,1.8010576061272223
41,1.9907313051003461
42,2.7878581582923188
43,2.587886113368201
44,1.962961126733786
45,2.8694125534891963
46,1.6623996763727469
47,2.9220603713060074
48,3.7631028166488116
49,1.5009460507459425
