,x_deg,x_moteus_deg,y,l,mode,u_ff,q_current,d_current,torque,t_s
0,-19.469970703125,34.530029296875,0.1580329598682311,0.1459670401317689,2,0.0,-4.0,0.1,-1.6753822565078735,5050.305769969
1,-18.063720703125,35.936279296875,0.15613406799670243,0.14786593200329756,2,-1.160367971252132,-3.9000000000000004,0.4,-1.6412699222564697,5050.308594148
2,-17.3221435546875,36.6778564453125,0.15513425754825352,0.14886574245174647,2,-1.114969297279262,-2.6,-0.4,-1.1161506175994873,5050.309979765
3,-16.6629638671875,37.3370361328125,0.15424670705239302,0.14975329294760698,2,-1.0723240198151793,-2.2,0.0,-0.9283785820007324,5050.311233402
4,-16.0587158203125,37.9412841796875,0.15343424171637754,0.15056575828362245,2,-1.0332314050287676,-2.6,0.0,-1.0830986499786377,5050.312508502
5,-15.476440429687496,38.5235595703125,0.152652464566938,0.15134753543306198,2,-0.9931790233526083,-2.3000000000000003,-0.6000000000000001,-0.9872483611106873,5050.313772676
6,-14.899658203124996,39.100341796875,0.15187928677996196,0.15212071322003803,2,-0.9537387785201354,-1.8,-0.1,-0.7516782283782959,5050.315020591
7,-14.361328124999998,39.638671875,0.15115885356533929,0.1528411464346607,2,-0.9149756624035477,-1.6,0.0,-0.6969417929649353,5050.316325209
8,-13.839477539062496,40.1605224609375,0.15046166796495722,0.15353833203504277,2,-0.8743777833633546,-1.7000000000000002,0.0,-0.7232939600944519,5050.317594217
9,-13.356079101562496,40.6439208984375,0.14981697448861575,0.15418302551138424,2,-0.8347722673498517,-1.8,0.30000000000000004,-0.7597737908363342,5050.318889205
10,-12.883666992187498,41.1163330078125,0.1491880379790731,0.1548119620209269,2,-0.7955158729019485,-1.5,0.0,-0.6596286296844482,5050.320192027
11,-12.433227539062502,41.5667724609375,0.14858942663128522,0.15541057336871478,2,-0.7556989524728883,-1.5,0.4,-0.6464372277259827,5050.32144422
12,-12.015747070312502,41.9842529296875,0.1480355961846706,0.1559644038153294,2,-0.717593363034168,-1.4000000000000001,0.0,-0.6147365570068359,5050.322702282
13,-11.603759765625,42.396240234375,0.14749001778679371,0.15650998221320628,2,-0.6796555103524975,-1.4000000000000001,-0.30000000000000004,-0.584434449672699,5050.323938012
14,-11.2027587890625,42.7972412109375,0.14695994533826454,0.15704005466173546,2,-0.6415269296380735,-1.6,-0.1,-0.6773831844329834,5050.325249501
15,-10.746826171875,43.253173828125,0.14635845236544898,0.15764154763455102,2,-0.6033749673908839,-1.4000000000000001,-0.1,-0.5997746586799622,5050.326886375
16,-10.3568115234375,43.6431884765625,0.14584496590946172,0.15815503409053827,2,-0.5544557346380241,-1.3,0.0,-0.5418255925178528,5050.328242659
17,-10.0052490234375,43.9947509765625,0.14538295736710355,0.15861704263289644,2,-0.5152888615441071,-1.1,-0.2,-0.46981915831565857,5050.32954287
18,-9.675659179687498,44.3243408203125,0.1449505796372248,0.1590494203627752,2,-0.4778056897083234,-0.6000000000000001,-0.1,-0.2862265408039093,5050.33081484
19,-9.357055664062502,44.6429443359375,0.1445333273048353,0.15946667269516468,2,-0.44142911616793556,-1.2000000000000002,0.0,-0.45161956548690796,5050.332107199
20,-9.0274658203125,44.9725341796875,0.14410244243089324,0.15989755756910676,2,-0.4046759101824682,-0.9,0.1,-0.3916468620300293,5050.333388299
21,-8.7308349609375,45.2691650390625,0.14371531798309845,0.16028468201690155,2,-0.36848375934574307,-0.7000000000000001,0.2,-0.3104200065135956,5050.334731491
22,-8.417724609375002,45.582275390625,0.14330739248564184,0.16069260751435815,2,-0.33169302864121963,-1.0,0.2,-0.44831356406211853,5050.336053461
23,-8.104614257812498,45.8953857421875,0.14290020719357488,0.1610997928064251,2,-0.2952506275660607,-0.8,0.0,-0.3439273238182068,5050.337342912
24,-7.807983398437498,46.1920166015625,0.14251514945822358,0.16148485054177641,2,-0.26100732596673537,-0.6000000000000001,0.0,-0.2547701299190521,5050.338588642
25,-7.489379882812497,46.5106201171875,0.14210233911443873,0.16189766088556126,2,-0.22809690360623835,-0.8,0.0,-0.36765173077583313,5050.339821742
26,-7.159790039062501,46.8402099609375,0.14167614993407981,0.16232385006592018,2,-0.19582857647856033,-0.6000000000000001,-0.6000000000000001,-0.2527543008327484,5050.341105897
27,-6.846679687500003,47.1533203125,0.14127209226022958,0.16272790773977042,2,-0.16262661037526294,-0.4,0.0,-0.14568749070167542,5050.34239583
28,-6.51708984375,47.48291015625,0.1408476502959434,0.1631523497040566,2,-0.13025148247058782,-0.6000000000000001,0.2,-0.25364425778388977,5050.343647486
29,-6.160034179687497,47.8399658203125,0.14038887842975536,0.16361112157024463,2,-0.09920115380131334,-0.2,0.2,-0.09664605557918549,5050.344973974
30,-5.819458007812499,48.1805419921875,0.13995230802765662,0.16404769197234337,2,-0.06676354455133637,-0.30000000000000004,0.2,-0.14434731006622314,5050.346242611
31,-5.506347656250002,48.49365234375,0.13955184608676383,0.16444815391323617,2,-0.03664039210103609,-0.30000000000000004,-0.2,-0.12157852947711945,5050.3475191
32,-5.171264648437501,48.8287353515625,0.13912425443475784,0.16487574556524215,2,-0.0069465618390804895,-0.30000000000000004,-0.1,-0.1253177374601364,5050.348879791
33,-4.819702148437503,49.1802978515625,0.13867673338344522,0.16532326661655478,2,0.025007756337606324,-0.2,0.0,-0.08896304666996002,5050.350249798
34,-4.4901123046875,49.5098876953125,0.13825822233342985,0.16574177766657014,2,0.054575079667903426,0.0,-0.1,-0.008682000450789928,5050.351530101
35,-4.171508789062498,49.8284912109375,0.13785463368186265,0.16614536631813734,2,0.0823151461452083,0.1,-0.2,0.06664761155843735,5050.352804016
36,-3.8583984375,50.1416015625,0.13745894846015036,0.16654105153984963,2,0.10911539507293799,0.30000000000000004,0.0,0.15579190850257874,5050.354073301
37,-3.5452880859375018,50.4547119140625,0.13706421353091972,0.16693578646908028,2,0.13520162932948288,0.2,0.1,0.1010497435927391,5050.355334197
38,-3.2376708984375013,50.7623291015625,0.13667734205823132,0.16732265794176868,2,0.1600076256790084,0.2,0.2,0.06154313310980797,5050.356633704
39,-2.9190673828124996,51.0809326171875,0.1362776474908408,0.1677223525091592,2,0.18512154481551946,0.4,0.2,0.19315160810947418,5050.357908897
40,-2.627929687499998,51.3720703125,0.13591330499868623,0.16808669500131376,2,0.20874301459795164,0.30000000000000004,-0.1,0.13085708022117615,5050.359174571
41,-2.3203124999999973,51.6796875,0.13552928039920387,0.16847071960079613,2,0.2314220510834274,0.4,0.2,0.18078069388866425,5050.360488133
42,-2.012695312500003,51.9873046875,0.13514623455029817,0.16885376544970182,2,0.2541383529277077,0.5,0.0,0.22502005100250244,5050.361751418
43,-1.7105712890624998,52.2894287109375,0.13477099298052808,0.1692290070194719,2,0.27507987281780677,0.4,0.0,0.19077935814857483,5050.363006277
