,hop_energy
0,0.9967875699819082
1,1.3010214406002434
2,1.865935291773662
3,1.1030486131950301
4,1.2779210647382877
5,1.5103674666855191
6,1.6739501762110254
7,1.9541561704964652
8,0.9733877152770396
9,1.0016121614933224
10,1.1551110124468265
11,2.327957706148696
12,1.2672551306194322
13,0.39150914132081516
14,1.04971231050907
15,2.950936510785312
16,1.0358838862864297
17,1.4990251886747585
18,0.8729149740160591
19,0.8186750614676948
20,2.4126351267740613
21,2.213188108369493
22,1.6453578403472449
23,1.1355932235979482
24,0.6842331076034891
25,2.0137863186148954
26,2.433404255612212
27,2.531505761616362
28,1.8355051547704404
29,2.1947607339950443
30,1.8314657882182641
31,0.9166841179061849
32,2.0374789758253358
33,2.5998159153754705
34,0.8837453200356249
35,2.099529961800849
36,0.6403152923757078
